iso_code,country,year,co2,income,gdp
IDN,Indonesia,2018,576.584,LM,1.04E+12
SAU,Saudi Arabia,2018,576.758,H,7.87E+11
CAN,Canada,2018,586.505,H,1.72E+12
KOR,South Korea,2018,634.934,H,1.72E+12
DEU,Germany,2018,755.362,H,3.96E+12
IRQ,Iraq,2018,755.402,UM,2.24E+11
JPN,Japan,2018,1135.688,H,4.95E+12
JOR,Jordan,2018,1135.688,UM,4.29E+10
IRN,Iran,2018,1261.777,UM,4.54E+11
RUS,Russia,2018,1691.36,UM,1.67E+12
IND,India,2018,2591.324,LM,2.71E+12
USA,United States,2018,5424.882,H,2.06E+13
CHN,China,2018,9956.569,UM,1.39E+13

